chembl_id,compound_name,family,smiles,n_activities_total,n_censored,mw_freebase,alogp,psa,hba,hbd,aromatic_rings,rtb,num_ro5_violations,heavy_atoms,cluster,cluster_label
CHEMBL100476,CID_745,Organophosphates,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,2,2,307.33,-2.21,158.82,6,6,0,9,1,20,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL101,CID_4781,Herbicides,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,297,117,308.38,3.79,40.62,2,0,2,5,0,23,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL103009,CID_4965,Herbicides,COc1ccc(C(=O)CBr)cc1,3,1,229.07,2.27,26.3,2,0,1,3,0,12,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1046,CID_564,Organophosphates,NCCCCCC(=O)O,128,101,131.18,0.59,63.32,2,2,0,5,0,9,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL104943,CID_700,Pyrethroids,NCCO,16,11,61.08,-1.06,46.25,2,2,0,1,0,4,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL113,CID_2519,Herbicides,Cn1c(=O)c2c(ncn2C)n(C)c1=O,306,141,194.19,-1.03,61.82,6,0,2,0,0,14,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1157,CID_196,Azole_fungicides,O=C(O)CCCCC(=O)O,18,5,146.14,0.72,74.6,2,2,0,5,0,10,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1160571,CID_1023,Pyrethroids,O=P(O)(O)OP(=O)(O)O,22,5,177.97,-0.81,124.29,3,4,0,2,0,9,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1160819,CID_222,Organophosphates,N,2,0,17.03,0.16,35.0,1,1,0,0,0,1,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1161632,CID_767,Pyrethroids,O=C(O)O,47,0,62.02,0.22,57.53,1,2,0,0,0,4,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1161998,CID_668,Organophosphates,O=C(CO)COP(=O)(O)O,30,0,170.06,-1.34,104.06,4,3,0,4,0,10,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL116455,CID_1133,Herbicides,O=C(O)CS,57,56,92.12,0.0,37.3,2,2,0,1,0,5,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL116736,CID_284,Carbamates,O=CO,3,0,46.03,-0.3,37.3,1,1,0,0,0,3,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1187,CID_1004,Pyrethroids,O=P(O)(O)O,12,5,97.99,-0.93,77.76,1,3,0,0,0,5,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL11909,CID_191,Triazines,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,146,131,267.25,-1.98,139.54,9,4,2,2,0,19,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1191361,CID_787,Pyrethroids,NO,15,9,33.03,-0.67,46.25,2,2,0,0,0,2,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL12,CID_3016,Herbicides,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,570,142,284.75,3.15,32.67,2,0,2,1,0,20,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1200468,Malathion,Organophosphates,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,81,55,330.36,2.12,71.06,8,0,0,9,0,19,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1200739,CID_402,Carbamates,S,24,0,34.08,0.11,0.0,0,0,0,0,0,1,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1200921,CID_727,Pyrethroids,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,9,5,290.83,3.64,0.0,0,0,0,0,0,12,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1201220,CID_2140,Herbicides,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,73,73,613.91,3.12,95.5,3,3,1,3,1,20,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1213475,CID_825,Organophosphates,O=C(O)C1CC(O)CN1,61,61,131.13,-1.21,69.56,3,3,0,1,0,9,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1222498,CID_4933,Herbicides,CCC(=O)Nc1ccc(Cl)c(Cl)c1,25,10,218.08,3.34,29.1,1,1,1,2,0,13,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1230762,CID_96,Carbamates,CC(=O)CC(=O)O,3,0,102.09,0.05,54.37,2,1,0,2,0,7,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1231178,CID_255,Organophosphates,O=[N+]([O-])c1ccc(OP(=O)(O)Oc2ccc([N+](=O)[O-])cc2)cc1,15,3,340.18,3.06,142.04,7,1,2,6,0,23,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1231461,CID_260,Pyrethroids,Br,29,0,80.91,0.58,0.0,0,0,0,0,0,1,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1231821,CID_313,Organophosphates,Cl,27,1,36.46,0.42,0.0,0,0,0,0,0,1,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1232274,CID_673,Organophosphates,CN(C)CC(=O)O,2,2,103.12,-0.37,40.54,2,1,0,2,0,7,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1232328,CID_655,Organophosphates,CCOP(O)(=S)OCC,2,2,170.17,1.28,38.69,3,1,0,4,0,9,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1233,CID_2576,Herbicides,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,156,126,260.33,2.02,90.65,4,2,0,7,0,18,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL125278,CID_277,Organophosphates,NC(=O)O,1,0,61.04,-0.38,63.32,1,2,0,0,0,4,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1255,CID_712,Pyrethroids,C=O,6,0,30.03,-0.18,17.07,1,0,0,0,0,2,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1261,CID_311,Azole_fungicides,O=C(O)CC(O)(CC(=O)O)C(=O)O,79,45,192.12,-1.25,132.13,4,4,0,5,0,13,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1356279,CID_4610,Herbicides,NC1CCCCC1N,3,2,114.19,0.21,52.04,2,2,0,0,0,8,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL13766,CID_460,Carbamates,COc1ccccc1O,54,19,124.14,1.4,29.46,2,1,1,1,0,9,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL14060,CID_996,Pyrethroids,Oc1ccccc1,106,55,94.11,1.39,20.23,1,1,1,0,0,7,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL14090,CID_300,Azole_fungicides,O=C(O)CCl,4,2,94.5,0.31,37.3,1,1,0,1,0,5,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL14173,CID_227,Organophosphates,Nc1ccccc1C(=O)O,16,9,137.14,0.97,63.32,2,2,1,1,0,10,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL14193,CID_126,Triazines,O=Cc1ccc(O)cc1,69,25,122.12,1.2,37.3,2,1,1,1,0,9,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL14227,CID_264,Carbamates,CCCC(=O)O,39,12,88.11,0.87,37.3,1,1,0,2,0,6,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL14245,CID_263,Azole_fungicides,CCCCO,11,2,74.12,0.78,20.23,1,1,0,2,0,5,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL14253,CID_180,Triazines,CC(C)=O,10,3,58.08,0.6,17.07,1,0,0,0,0,4,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1432,CID_19,Triazines,O=C(O)c1cccc(O)c1O,27,6,154.12,0.8,77.76,3,3,1,1,0,11,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL14343,CID_229,Organophosphates,OC1COC(O)C(O)C1O,5,3,150.13,-2.58,90.15,5,4,0,0,0,10,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL144103,CID_61,Triazines,O=C(O)C(COP(=O)(O)O)OP(=O)(O)O,3,0,266.04,-1.34,170.82,5,5,0,6,0,15,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL146554,CID_49,Triazines,CC(C)C(=O)C(=O)O,1,0,116.12,0.3,54.37,2,1,0,2,0,8,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL14687,CID_1031,Pyrethroids,CCCO,5,0,60.1,0.39,20.23,1,1,0,1,0,4,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL14688,CID_887,Pyrethroids,CO,7,1,32.04,-0.39,20.23,1,1,0,0,0,2,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL15063,Atrazine,Triazines,CCNc1nc(Cl)nc(NC(C)C)n1,34,14,215.69,1.78,62.73,5,2,1,4,0,14,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL15088,CID_1065,Pyrethroids,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,18,18,324.42,3.17,45.59,4,1,2,4,0,24,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1517425,CID_1988,Herbicides,CCOCN(C(=O)CCl)c1c(C)cccc1CC,84,44,269.77,3.12,29.54,2,0,1,6,0,18,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1527083,CID_253,Azole_fungicides,O=C(O)CCCCC1SCC2NC(=O)NC21,1,0,244.32,0.8,78.43,3,3,0,5,0,16,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1547,CID_1130,Pyrethroids,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,51,34,265.36,0.61,75.91,5,2,2,4,0,18,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1565192,CID_66,Azole_fungicides,Oc1cc(Cl)ccc1Cl,11,4,163.0,2.7,20.23,1,1,1,0,0,9,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1569524,Dimethoate,Organophosphates,CNC(=O)CSP(=S)(OC)OC,26,10,229.26,0.98,47.56,5,1,0,5,0,12,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL15768,CID_2537,Herbicides,CC12CCC(CC1=O)C2(C)C,61,27,152.24,2.4,17.07,1,0,0,0,0,11,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1593566,Deltamethrin,Pyrethroids,CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Br)Br,36,13,505.21,6.49,59.32,4,0,2,6,2,28,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL15972,CID_240,Herbicides,O=Cc1ccccc1,19,7,106.12,1.5,17.07,1,0,1,1,0,8,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1605837,Simazine,Triazines,CCNc1nc(Cl)nc(NCC)n1,13,7,201.66,1.39,62.73,5,2,1,4,0,13,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL16081,CID_178,Azole_fungicides,CC(N)=O,18,10,59.07,-0.51,43.09,1,1,0,0,0,4,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1620698,CID_85,Triazines,C[N+](C)(C)CC(O)CC(=O)O,2,0,162.21,-0.47,57.53,2,2,0,4,0,11,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL162789,CID_144,Azole_fungicides,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,6,4,220.23,0.83,99.34,3,4,2,3,0,16,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL16720,CID_224,Organophosphates,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,2,2,347.22,-1.86,186.07,10,5,2,4,0,23,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1686,CID_51,Triazines,O=C(O)CCC(=O)C(=O)O,84,65,146.1,-0.5,91.67,3,2,0,4,0,10,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL170365,CID_177,Carbamates,CC=O,3,1,44.05,0.21,17.07,1,0,0,0,0,3,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL171246,CID_58,Triazines,CCC(=O)C(=O)O,1,0,102.09,0.05,54.37,2,1,0,2,0,7,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL172513,CID_288,Azole_fungicides,C[N+](C)(C)CC(O)CC(=O)[O-],6,3,161.2,-1.81,60.36,3,1,0,4,0,11,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1772,CID_127,Triazines,O=C(O)Cc1ccc(O)cc1,14,2,152.15,1.02,57.53,2,2,1,2,0,11,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1794676,CID_45,Triazines,O=C(O)C(O)C(=O)O,1,0,120.06,-1.48,94.83,3,3,0,2,0,8,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL180002,CID_106,Carbamates,NC(COP(=O)(O)O)C(=O)O,2,2,185.07,-1.49,130.08,4,4,0,4,0,11,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1880349,CID_40,Triazines,OCC1OC(O)CC(O)C1O,5,5,164.16,-2.19,90.15,5,4,0,1,0,11,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1894994,CID_3289,Herbicides,CCCSP(=O)(OCC)SCCC,8,8,242.35,4.42,26.3,4,0,0,8,0,13,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL191244,CID_34,Herbicides,OCCCl,1,0,80.51,0.22,20.23,1,1,0,1,0,4,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL2133249,CID_1982,Pyrethroids,COP(=O)(NC(C)=O)SC,4,2,183.17,1.24,55.4,4,1,0,3,0,10,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL2251732,Lambda-cyhalothrin,Pyrethroids,CC1(C)[C@H](/C=C(\Cl)C(F)(F)F)[C@@H]1C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1,3,0,449.86,6.54,59.32,4,0,2,6,1,31,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
